iter	Passed	Remaining
429	1655	2194
430	1658	2189
431	1661	2183
432	1663	2178
433	1666	2172
434	1669	2168
435	1673	2165
436	1677	2161
437	1681	2157
438	1684	2152
439	1687	2147
440	1690	2142
441	1693	2138
442	1696	2133
443	1700	2129
444	1702	2123
445	1706	2119
446	1708	2114
447	1712	2109
448	1716	2105
449	1719	2101
450	1721	2096
451	1725	2091
452	1727	2086
453	1730	2080
454	1732	2074
455	1735	2070
456	1737	2064
457	1740	2059
458	1743	2055
459	1746	2050
460	1749	2045
461	1752	2041
462	1755	2036
463	1758	2031
464	1761	2026
465	1765	2022
466	1767	2017
467	1770	2012
468	1776	2010
469	1781	2008
470	1785	2005
471	1789	2001
472	1791	1996
473	1799	1996
474	1807	1997
475	1816	1999
476	1822	1998
477	1832	2001
478	1836	1997
479	1841	1995
480	1847	1993
481	1850	1988
482	1854	1984
483	1859	1982
484	1861	1976
485	1865	1972
486	1866	1966
487	1868	1960
488	1870	1955
489	1873	1950
490	1876	1945
491	1880	1941
492	1881	1935
493	1885	1931
494	1888	1927
495	1891	1922
496	1894	1917
497	1896	1911
498	1898	1906
499	1902	1902
500	1906	1898
501	1909	1894
502	1935	1912
503	1939	1908
504	1944	1905
505	1946	1899
506	1950	1896
507	1951	1889
508	1953	1884
509	1956	1880
510	1960	1875
511	1963	1871
512	1967	1867
513	1970	1863
514	1975	1860
515	1978	1856
516	1981	1851
517	1983	1846
518	1987	1842
519	1991	1838
520	1995	1834
521	1998	1830
522	2000	1824
523	2004	1820
524	2007	1816
525	2010	1812
526	2013	1807
527	2015	1802
528	2017	1796
529	2020	1791
530	2023	1787
531	2026	1782
532	2028	1777
533	2031	1773
534	2034	1768
535	2035	1762
536	2038	1757
537	2041	1753
538	2044	1748
539	2048	1744
540	2051	1740
541	2055	1736
542	2058	1732
543	2061	1728
544	2064	1723
545	2067	1718
546	2069	1714
547	2073	1710
548	2076	1706
549	2079	1701
550	2081	1696
551	2084	1691
552	2087	1687
553	2089	1681
554	2091	1677
555	2095	1673
556	2099	1669
557	2102	1665
558	2105	1661
559	2109	1657
560	2113	1653
561	2116	1649
562	2120	1645
563	2123	1641
564	2125	1636
565	2128	1631
566	2130	1627
567	2134	1623
568	2137	1619
569	2140	1614
570	2143	1610
571	2146	1605
572	2149	1601
573	2151	1596
574	2154	1592
575	2159	1589
576	2162	1585
577	2166	1582
578	2168	1576
579	2171	1572
580	2174	1568
581	2178	1564
582	2182	1560
583	2185	1556
584	2188	1552
585	2191	1547
586	2193	1543
587	2195	1538
588	2198	1534
589	2202	1530
590	2205	1526
591	2207	1521
592	2211	1518
593	2213	1512
594	2216	1508
595	2219	1504
596	2221	1499
597	2224	1495
598	2227	1491
599	2230	1487
600	2234	1483
601	2235	1477
602	2238	1473
603	2242	1469
604	2245	1465
605	2248	1461
606	2250	1456
607	2252	1452
608	2254	1447
609	2258	1444
610	2261	1439
611	2265	1436
612	2267	1431
613	2270	1427
614	2273	1423
615	2277	1419
616	2280	1415
617	2283	1411
618	2286	1407
619	2290	1403
620	2292	1398
621	2295	1395
622	2299	1391
623	2303	1388
624	2307	1384
625	2310	1380
626	2314	1376
627	2317	1372
628	2321	1369
629	2325	1365
630	2329	1362
631	2333	1358
632	2334	1353
633	2337	1349
634	2341	1346
635	2346	1342
636	2350	1339
637	2353	1335
638	2357	1331
639	2360	1328
640	2364	1324
641	2366	1319
642	2369	1315
643	2372	1311
644	2376	1307
645	2389	1309
646	2412	1316
647	2430	1320
648	2435	1317
649	2440	1314
650	2443	1310
651	2447	1306
652	2452	1303
653	2456	1299
654	2457	1294
655	2460	1290
656	2462	1285
657	2464	1281
658	2467	1276
659	2470	1272
660	2473	1268
661	2475	1263
662	2477	1259
663	2480	1255
664	2482	1250
665	2484	1245
666	2487	1242
667	2491	1238
668	2494	1234
669	2498	1230
670	2500	1225
671	2502	1221
672	2505	1217
673	2507	1213
674	2511	1209
675	2514	1205
676	2518	1201
677	2521	1197
678	2524	1193
679	2527	1189
680	2529	1185
681	2533	1181
682	2536	1177
683	2539	1173
684	2542	1169
685	2545	1165
686	2549	1161
687	2553	1157
688	2556	1154
689	2560	1150
690	2563	1146
691	2567	1142
692	2570	1138
693	2573	1134
694	2576	1130
695	2579	1126
696	2581	1122
697	2584	1118
698	2587	1114
699	2590	1110
700	2593	1106
701	2596	1102
702	2598	1097
703	2601	1093
704	2604	1089
705	2607	1085
706	2610	1081
707	2612	1077
708	2615	1073
709	2618	1069
710	2621	1065
711	2624	1061
712	2627	1057
713	2630	1053
714	2632	1049
715	2635	1045
716	2638	1041
717	2640	1037
718	2643	1033
719	2646	1029
720	2649	1025
721	2651	1021
722	2654	1016
723	2657	1013
724	2661	1009
725	2664	1005
726	2667	1001
727	2671	998
728	2674	994
729	2678	990
730	2681	986
731	2685	983
732	2688	979
733	2692	975
734	2693	971
735	2697	967
736	2700	963
737	2703	959
738	2706	955
739	2708	951
740	2712	947
741	2714	943
742	2717	939
743	2719	935
744	2722	931
745	2725	928
746	2728	924
747	2732	920
748	2734	916
749	2738	912
750	2741	908
751	2744	905
752	2748	901
753	2752	897
754	2756	894
755	2759	890
756	2762	886
757	2765	882
758	2767	878
759	2770	874
760	2773	871
761	2776	867
762	2779	863
763	2782	859
764	2785	855
765	2788	851
766	2791	847
767	2794	844
768	2797	840
769	2798	835
770	2801	831
771	2803	828
772	2807	824
773	2809	820
774	2812	816
775	2815	812
776	2818	808
777	2821	805
778	2824	801
779	2828	797
780	2830	793
781	2833	789
782	2836	786
783	2838	782
784	2841	778
785	2844	774
786	2846	770
787	2848	766
788	2852	762
789	2855	759
790	2859	755
791	2862	751
792	2865	748
793	2869	744
794	2872	740
795	2914	746
796	2918	743
797	2921	739
798	2923	735
799	2927	731
800	2931	728
801	2934	724
802	2939	721
803	2942	717
804	2946	713
805	2949	710
806	2954	706
807	2957	702
808	2960	698
809	2963	695
810	2965	691
811	2968	687
812	2971	683
813	2974	679
814	2977	675
815	2980	671
816	2982	668
817	2985	664
818	2988	660
819	2991	656
820	2994	652
821	2997	649
822	3000	645
823	3003	641
824	3006	637
825	3008	633
826	3011	629
827	3014	626
828	3016	622
829	3018	618
830	3021	614
831	3024	610
832	3027	606
833	3030	603
834	3034	599
835	3038	596
836	3041	592
837	3045	588
838	3049	585
839	3053	581
840	3057	577
841	3060	574
842	3063	570
843	3067	566
844	3070	563
845	3073	559
846	3076	555
847	3079	551
848	3081	548
849	3084	544
850	3087	540
851	3090	536
852	3093	533
853	3096	529
854	3099	525
855	3102	521
856	3105	518
857	3109	514
858	3113	511
859	3116	507
860	3120	503
861	3123	500
862	3127	496
863	3130	492
864	3132	488
865	3135	485
866	3139	481
867	3142	477
868	3144	474
869	3147	470
870	3150	466
871	3153	462
872	3156	459
873	3158	455
874	3161	451
875	3164	447
876	3167	444
877	3170	440
878	3173	436
879	3176	433
880	3178	429
881	3181	425
882	3184	421
883	3187	418
884	3190	414
885	3193	410
886	3196	407
887	3199	403
888	3201	399
889	3204	396
890	3207	392
891	3209	388
892	3212	384
893	3215	381
894	3218	377
895	3221	373
896	3224	370
897	3227	366
898	3231	363
899	3235	359
900	3239	355
901	3242	352
902	3245	348
903	3249	345
904	3253	341
905	3256	337
906	3259	334
907	3262	330
908	3265	326
909	3268	323
910	3270	319
911	3274	315
912	3276	312
913	3279	308
914	3282	304
915	3285	301
916	3288	297
917	3291	294
918	3295	290
919	3299	286
920	3302	283
921	3306	279
922	3314	276
923	3318	272
924	3322	269
925	3326	265
926	3330	262
927	3334	258
928	3338	255
929	3342	251
930	3346	248
931	3350	244
932	3354	240
933	3358	237
934	3361	233
935	3365	230
936	3369	226
937	3373	222
938	3377	219
939	3381	215
940	3384	212
941	3388	208
942	3391	204
943	3394	201
944	3397	197
945	3400	194
946	3402	190
947	3406	186
948	3408	183
949	3411	179
950	3414	175
951	3417	172
952	3420	168
953	3424	165
954	3426	161
955	3430	157
956	3434	154
957	3437	150
958	3441	147
959	3444	143
960	3447	139
961	3451	136
962	3454	132
963	3457	129
964	3460	125
965	3462	121
966	3465	118
967	3468	114
968	3471	111
969	3474	107
970	3477	103
971	3480	100
972	3483	96
973	3486	93
974	3489	89
975	3493	85
976	3497	82
977	3501	78
978	3504	75
979	3508	71
980	3512	68
981	3516	64
982	3519	60
983	3523	57
984	3527	53
985	3531	50
986	3535	46
987	3538	42
988	3542	39
989	3546	35
990	3548	32
991	3551	28
992	3556	25
993	3559	21
994	3563	17
995	3566	14
996	3570	10
997	3573	7
998	3577	3
999	3580	0
